model,k,recall,eir,ndcg,mrr
BM25_with_stopwords,1,0.12203333333333333,0.23445945945945945,0.234,0.234
BM25_with_stopwords,5,0.24930000000000002,0.1204296022176495,0.3336075497807401,0.3060333333333334
BM25_with_stopwords,10,0.3254666666666666,0.08390179307757649,0.36088645333245906,0.32008928571428574
BM25_with_stopwords,20,0.40648333333333336,0.05402029759880211,0.37609128937603387,0.3260891550614848
BM25_with_stopwords,50,0.50795,0.027979009346623094,0.3896091146988106,0.32960887615914636
BM25_with_stopwords,100,0.5875666666666667,0.01668535241517362,0.3952997457310394,0.33060010942184864
BM25_without_stopwords,1,0.12266666666666667,0.23945945945945946,0.239,0.239
BM25_without_stopwords,5,0.2562,0.12764300796737582,0.33990465479226084,0.31239999999999996
BM25_without_stopwords,10,0.32961666666666667,0.08683882319130715,0.36749836630477134,0.3253638888888889
BM25_without_stopwords,20,0.4134333333333333,0.05579494770434056,0.3813445962217048,0.33114345119105176
BM25_without_stopwords,50,0.5239666666666667,0.029724068522619395,0.3966659278040218,0.3349416118677881
BM25_without_stopwords,100,0.6046666666666666,0.017566701132490398,0.40159485073207024,0.3358950422543486
